#1
double profiles(8760,3)
1447200.0 0.023152 1.000000
1450800.0 0.000000 0.950000
1454400.0 0.000000 0.750000
1458000.0 0.000000 0.520000
1461600.0 0.000000 0.350000
1465200.0 0.000000 0.260000
1468800.0 0.000000 0.220000
1472400.0 0.000000 0.180000
1476000.0 0.000000 0.160000
1479600.0 0.000000 0.160000
1483200.0 0.000000 0.180000
1486800.0 0.000000 0.280000
1490400.0 0.000000 0.400000
1494000.0 0.000000 0.450000
1497600.0 0.089606 0.500000
1501200.0 0.283716 0.550000
1504800.0 0.446625 0.580000
1508400.0 0.561866 0.600000
1512000.0 0.625976 0.580000
1515600.0 0.638570 0.550000
1519200.0 0.600425 0.520000
1522800.0 0.512898 0.550000
1526400.0 0.378410 0.680000
1530000.0 0.203182 0.880000
1533600.0 0.024156 1.000000
1537200.0 0.000000 0.950000
1540800.0 0.000000 0.750000
1544400.0 0.000000 0.520000
1548000.0 0.000000 0.350000
1551600.0 0.000000 0.260000
1555200.0 0.000000 0.220000
1558800.0 0.000000 0.180000
1562400.0 0.000000 0.160000
1566000.0 0.000000 0.160000
1569600.0 0.000000 0.180000
1573200.0 0.000000 0.280000
1576800.0 0.000000 0.400000
1580400.0 0.000000 0.450000
1584000.0 0.089087 0.500000
1587600.0 0.283240 0.550000
1591200.0 0.446436 0.580000
1594800.0 0.562005 0.600000
1598400.0 0.626430 0.580000
1602000.0 0.639306 0.550000
1605600.0 0.601406 0.520000
1609200.0 0.514084 0.550000
1612800.0 0.379764 0.680000
1616400.0 0.204667 0.880000
1620000.0 0.025164 1.000000
1623600.0 0.000000 0.950000
1627200.0 0.000000 0.750000
1630800.0 0.000000 0.520000
1634400.0 0.000000 0.350000
1638000.0 0.000000 0.260000
1641600.0 0.000000 0.220000
1645200.0 0.000000 0.180000
1648800.0 0.000000 0.160000
1652400.0 0.000000 0.160000
1656000.0 0.000000 0.180000
1659600.0 0.000000 0.280000
1663200.0 0.000000 0.400000
1666800.0 0.000000 0.450000
1670400.0 0.088630 0.500000
1674000.0 0.282824 0.550000
1677600.0 0.446297 0.580000
1681200.0 0.562184 0.600000
1684800.0 0.626913 0.580000
1688400.0 0.640061 0.550000
1692000.0 0.602395 0.520000
1695600.0 0.515267 0.550000
1699200.0 0.381106 0.680000
1702800.0 0.206133 0.880000
1706400.0 0.026175 1.000000
1710000.0 0.000000 0.950000
1713600.0 0.000000 0.750000
1717200.0 0.000000 0.520000
1720800.0 0.000000 0.350000
1724400.0 0.000000 0.260000
1728000.0 0.000000 0.220000
1731600.0 0.000000 0.180000
1735200.0 0.000000 0.160000
1738800.0 0.000000 0.160000
1742400.0 0.000000 0.180000
1746000.0 0.000000 0.280000
1749600.0 0.000000 0.400000
1753200.0 0.000000 0.450000
1756800.0 0.088234 0.500000
1760400.0 0.282467 0.550000
1764000.0 0.446208 0.580000
1767600.0 0.562401 0.600000
